active,fn,bpp,mse,np
256.00, 03.png, 2.2228, 12.1496, 393216
256.00, 08.png, 2.6517, 48.6210, 393216
256.00, 21.png, 2.4383, 27.8574, 393216
256.00, 18.png, 2.5034, 40.0642, 393216
256.00, 15.png, 2.2412, 20.9610, 393216
256.00, 09.png, 2.2617, 14.4715, 393216
256.00, 17.png, 2.2785, 17.9118, 393216
256.00, 20.png, 2.2340, 19.0206, 393216
256.00, 12.png, 2.2243, 14.6994, 393216
256.00, 22.png, 2.3283, 28.8905, 393216
256.00, 19.png, 2.3437, 24.0845, 393216
256.00, 02.png, 2.2515, 19.4801, 393216
256.00, 10.png, 2.2846, 14.9603, 393216
256.00, 05.png, 2.6587, 39.1613, 393216
256.00, 23.png, 2.1769, 13.4352, 393216
256.00, 11.png, 2.3448, 26.7199, 393216
256.00, 24.png, 2.4803, 39.4899, 393216
256.00, 01.png, 2.5706, 39.9787, 393216
256.00, 04.png, 2.2898, 19.5318, 393216
256.00, 14.png, 2.4764, 33.8271, 393216
256.00, 13.png, 2.7877, 73.3816, 393216
256.00, 06.png, 2.4307, 29.7926, 393216
256.00, 16.png, 2.2876, 18.2706, 393216
256.00, 07.png, 2.2854, 15.4142, 393216
240.00, 03.png, 1.8109, 11.6440, 393216
240.00, 08.png, 2.2438, 47.4804, 393216
240.00, 21.png, 2.0282, 27.4420, 393216
240.00, 18.png, 2.0791, 39.5756, 393216
240.00, 15.png, 1.8315, 20.6517, 393216
240.00, 09.png, 1.8353, 13.9664, 393216
240.00, 17.png, 1.8519, 17.3795, 393216
240.00, 20.png, 1.8265, 18.8496, 393216
240.00, 12.png, 1.8143, 14.1891, 393216
240.00, 22.png, 1.9192, 28.4796, 393216
240.00, 19.png, 1.9194, 23.3523, 393216
240.00, 02.png, 1.8373, 19.3512, 393216
240.00, 10.png, 1.8585, 14.4952, 393216
240.00, 05.png, 2.2521, 37.9803, 393216
240.00, 23.png, 1.7669, 13.0125, 393216
240.00, 11.png, 1.9352, 26.1078, 393216
240.00, 24.png, 2.0700, 38.9656, 393216
240.00, 01.png, 2.1620, 38.8293, 393216
240.00, 04.png, 1.8643, 19.0523, 393216
240.00, 14.png, 2.0696, 32.7420, 393216
240.00, 13.png, 2.3794, 72.5766, 393216
240.00, 06.png, 2.0231, 29.0513, 393216
240.00, 16.png, 1.8763, 17.7884, 393216
240.00, 07.png, 1.8749, 14.6437, 393216
224.00, 03.png, 1.4467, 11.8680, 393216
224.00, 08.png, 1.8834, 49.2543, 393216
224.00, 21.png, 1.6653, 28.5892, 393216
224.00, 18.png, 1.7134, 41.1893, 393216
224.00, 15.png, 1.4692, 20.7658, 393216
224.00, 09.png, 1.4673, 14.4573, 393216
224.00, 17.png, 1.4848, 17.7756, 393216
224.00, 20.png, 1.4650, 18.6992, 393216
224.00, 12.png, 1.4512, 14.5037, 393216
224.00, 22.png, 1.5580, 29.3895, 393216
224.00, 19.png, 1.5533, 24.1666, 393216
224.00, 02.png, 1.4729, 20.2815, 393216
224.00, 10.png, 1.4906, 14.8188, 393216
224.00, 05.png, 1.8933, 38.9601, 393216
224.00, 23.png, 1.4055, 12.9677, 393216
224.00, 11.png, 1.5737, 27.4890, 393216
224.00, 24.png, 1.7075, 40.7365, 393216
224.00, 01.png, 1.8006, 40.5060, 393216
224.00, 04.png, 1.4964, 19.5100, 393216
224.00, 14.png, 1.7106, 33.8776, 393216
224.00, 13.png, 2.0183, 78.1364, 393216
224.00, 06.png, 1.6613, 30.3471, 393216
224.00, 16.png, 1.5124, 18.6535, 393216
224.00, 07.png, 1.5119, 14.5701, 393216
208.00, 03.png, 1.1349, 12.8226, 393216
208.00, 08.png, 1.5743, 54.1560, 393216
208.00, 21.png, 1.3545, 31.5055, 393216
208.00, 18.png, 1.4040, 45.5432, 393216
208.00, 15.png, 1.1591, 22.8453, 393216
208.00, 09.png, 1.1566, 15.5636, 393216
208.00, 17.png, 1.1748, 19.4628, 393216
208.00, 20.png, 1.1554, 20.2126, 393216
208.00, 12.png, 1.1401, 15.9729, 393216
208.00, 22.png, 1.2484, 32.3362, 393216
208.00, 19.png, 1.2443, 26.3490, 393216
208.00, 02.png, 1.1607, 22.5947, 393216
208.00, 10.png, 1.1801, 16.1773, 393216
208.00, 05.png, 1.5853, 43.1494, 393216
208.00, 23.png, 1.0961, 14.0328, 393216
208.00, 11.png, 1.2646, 30.6169, 393216
208.00, 24.png, 1.3962, 44.9150, 393216
208.00, 01.png, 1.4901, 44.6586, 393216
208.00, 04.png, 1.1856, 21.5474, 393216
208.00, 14.png, 1.4029, 37.1708, 393216
208.00, 13.png, 1.7090, 86.9628, 393216
208.00, 06.png, 1.3514, 33.8454, 393216
208.00, 16.png, 1.2001, 20.7124, 393216
208.00, 07.png, 1.2009, 15.6861, 393216
192.00, 03.png, 0.8827, 17.5821, 393216
192.00, 08.png, 1.3212, 65.3824, 393216
192.00, 21.png, 1.1008, 38.5289, 393216
192.00, 18.png, 1.1501, 56.7158, 393216
192.00, 15.png, 0.9026, 31.0345, 393216
192.00, 09.png, 0.9037, 20.8537, 393216
192.00, 17.png, 0.9212, 26.5229, 393216
192.00, 20.png, 0.9023, 25.5677, 393216
192.00, 12.png, 0.8857, 21.1620, 393216
192.00, 22.png, 0.9981, 41.1639, 393216
192.00, 19.png, 0.9932, 34.2903, 393216
192.00, 02.png, 0.9057, 30.1664, 393216
192.00, 10.png, 0.9275, 22.0633, 393216
192.00, 05.png, 1.3332, 54.5849, 393216
192.00, 23.png, 0.8451, 19.9401, 393216
192.00, 11.png, 1.0134, 39.7017, 393216
192.00, 24.png, 1.1444, 54.3748, 393216
192.00, 01.png, 1.2407, 53.7272, 393216
192.00, 04.png, 0.9323, 29.2105, 393216
192.00, 14.png, 1.1519, 46.9912, 393216
192.00, 13.png, 1.4579, 99.8337, 393216
192.00, 06.png, 1.0995, 41.1350, 393216
192.00, 16.png, 0.9470, 27.6473, 393216
192.00, 07.png, 0.9494, 21.7875, 393216
176.00, 03.png, 0.6974, 19.7206, 393216
176.00, 08.png, 1.1133, 69.1933, 393216
176.00, 21.png, 0.9056, 42.0255, 393216
176.00, 18.png, 0.9543, 61.6975, 393216
176.00, 15.png, 0.7142, 32.5845, 393216
176.00, 09.png, 0.7129, 23.7987, 393216
176.00, 17.png, 0.7331, 31.3678, 393216
176.00, 20.png, 0.7156, 27.7155, 393216
176.00, 12.png, 0.6957, 24.7171, 393216
176.00, 22.png, 0.8131, 47.3508, 393216
176.00, 19.png, 0.8041, 37.4510, 393216
176.00, 02.png, 0.7210, 33.3460, 393216
176.00, 10.png, 0.7382, 25.7486, 393216
176.00, 05.png, 1.1231, 59.2807, 393216
176.00, 23.png, 0.6613, 22.2140, 393216
176.00, 11.png, 0.8276, 43.5323, 393216
176.00, 24.png, 0.9522, 60.2610, 393216
176.00, 01.png, 1.0492, 59.9986, 393216
176.00, 04.png, 0.7440, 33.0788, 393216
176.00, 14.png, 0.9574, 53.3233, 393216
176.00, 13.png, 1.2536, 106.6193, 393216
176.00, 06.png, 0.9094, 46.0815, 393216
176.00, 16.png, 0.7586, 31.6782, 393216
176.00, 07.png, 0.7564, 25.1780, 393216
160.00, 03.png, 0.5580, 23.0185, 393216
160.00, 08.png, 0.9621, 73.3663, 393216
160.00, 21.png, 0.7513, 46.5605, 393216
160.00, 18.png, 0.8081, 68.5401, 393216
160.00, 15.png, 0.5808, 36.1551, 393216
160.00, 09.png, 0.5690, 27.2611, 393216
160.00, 17.png, 0.5989, 36.0914, 393216
160.00, 20.png, 0.5790, 31.3055, 393216
160.00, 12.png, 0.5581, 30.1771, 393216
160.00, 22.png, 0.6794, 53.6029, 393216
160.00, 19.png, 0.6633, 42.3087, 393216
160.00, 02.png, 0.5818, 38.6036, 393216
160.00, 10.png, 0.5966, 29.6521, 393216
160.00, 05.png, 0.9618, 64.6290, 393216
160.00, 23.png, 0.5259, 23.8864, 393216
160.00, 11.png, 0.6880, 49.8632, 393216
160.00, 24.png, 0.8107, 65.5006, 393216
160.00, 01.png, 0.9016, 65.8605, 393216
160.00, 04.png, 0.6067, 37.3360, 393216
160.00, 14.png, 0.8037, 61.7895, 393216
160.00, 13.png, 1.0868, 113.1562, 393216
160.00, 06.png, 0.7613, 52.6083, 393216
160.00, 16.png, 0.6160, 37.8913, 393216
160.00, 07.png, 0.6218, 28.1182, 393216
144.00, 03.png, 0.4527, 25.0453, 393216
144.00, 08.png, 0.8408, 77.7641, 393216
144.00, 21.png, 0.6327, 49.0862, 393216
144.00, 18.png, 0.6932, 74.0424, 393216
144.00, 15.png, 0.4766, 40.7405, 393216
144.00, 09.png, 0.4616, 28.8909, 393216
144.00, 17.png, 0.4971, 40.1964, 393216
144.00, 20.png, 0.4730, 34.5151, 393216
144.00, 12.png, 0.4537, 33.0701, 393216
144.00, 22.png, 0.5704, 58.4914, 393216
144.00, 19.png, 0.5534, 45.8012, 393216
144.00, 02.png, 0.4751, 42.0368, 393216
144.00, 10.png, 0.4879, 31.9596, 393216
144.00, 05.png, 0.8354, 69.2801, 393216
144.00, 23.png, 0.4249, 25.6685, 393216
144.00, 11.png, 0.5790, 54.0304, 393216
144.00, 24.png, 0.6955, 71.5416, 393216
144.00, 01.png, 0.7838, 69.6864, 393216
144.00, 04.png, 0.4987, 40.7929, 393216
144.00, 14.png, 0.6847, 67.4572, 393216
144.00, 13.png, 0.9530, 122.1768, 393216
144.00, 06.png, 0.6485, 56.6594, 393216
144.00, 16.png, 0.5066, 42.2478, 393216
144.00, 07.png, 0.5189, 30.2923, 393216
128.00, 03.png, 0.3818, 28.3482, 393216
128.00, 08.png, 0.7420, 85.3083, 393216
128.00, 21.png, 0.5468, 59.8775, 393216
128.00, 18.png, 0.6037, 82.3042, 393216
128.00, 15.png, 0.4069, 55.3024, 393216
128.00, 09.png, 0.3918, 35.6918, 393216
128.00, 17.png, 0.4207, 47.0737, 393216
128.00, 20.png, 0.4045, 60.3373, 393216
128.00, 12.png, 0.3813, 37.6120, 393216
128.00, 22.png, 0.4858, 66.7205, 393216
128.00, 19.png, 0.4695, 51.2791, 393216
128.00, 02.png, 0.3975, 48.5167, 393216
128.00, 10.png, 0.4082, 36.9040, 393216
128.00, 05.png, 0.7366, 75.6866, 393216
128.00, 23.png, 0.3580, 32.0101, 393216
128.00, 11.png, 0.4959, 61.4864, 393216
128.00, 24.png, 0.6019, 81.2308, 393216
128.00, 01.png, 0.6886, 77.5905, 393216
128.00, 04.png, 0.4185, 47.1080, 393216
128.00, 14.png, 0.5921, 74.7285, 393216
128.00, 13.png, 0.8400, 140.3300, 393216
128.00, 06.png, 0.5638, 68.3553, 393216
128.00, 16.png, 0.4255, 47.7863, 393216
128.00, 07.png, 0.4428, 35.6777, 393216
112.00, 03.png, 0.3460, 40.3837, 393216
112.00, 08.png, 0.6617, 95.8431, 393216
112.00, 21.png, 0.4923, 83.0986, 393216
112.00, 18.png, 0.5373, 96.1717, 393216
112.00, 15.png, 0.3671, 71.0404, 393216
112.00, 09.png, 0.3568, 56.5142, 393216
112.00, 17.png, 0.3742, 102.5940, 393216
112.00, 20.png, 0.3675, 63.8302, 393216
112.00, 12.png, 0.3410, 48.1763, 393216
112.00, 22.png, 0.4288, 80.7924, 393216
112.00, 19.png, 0.4154, 60.7899, 393216
112.00, 02.png, 0.3505, 57.0625, 393216
112.00, 10.png, 0.3655, 44.7697, 393216
112.00, 05.png, 0.6553, 86.7041, 393216
112.00, 23.png, 0.3263, 50.3746, 393216
112.00, 11.png, 0.4403, 74.3729, 393216
112.00, 24.png, 0.5325, 93.9202, 393216
112.00, 01.png, 0.6097, 90.7520, 393216
112.00, 04.png, 0.3719, 55.6732, 393216
112.00, 14.png, 0.5225, 85.7797, 393216
112.00, 13.png, 0.7410, 164.1850, 393216
112.00, 06.png, 0.5015, 81.0976, 393216
112.00, 16.png, 0.3760, 56.5268, 393216
112.00, 07.png, 0.4003, 43.7717, 393216
96.00, 03.png, 0.3258, 60.1393, 393216
96.00, 08.png, 0.5965, 108.5842, 393216
96.00, 21.png, 0.4529, 100.3865, 393216
96.00, 18.png, 0.4877, 120.3707, 393216
96.00, 15.png, 0.3436, 84.4424, 393216
96.00, 09.png, 0.3385, 58.4676, 393216
96.00, 17.png, 0.3513, 158.7240, 393216
96.00, 20.png, 0.3443, 78.3409, 393216
96.00, 12.png, 0.3234, 60.3793, 393216
96.00, 22.png, 0.3931, 87.9627, 393216
96.00, 19.png, 0.3818, 72.1041, 393216
96.00, 02.png, 0.3236, 76.9831, 393216
96.00, 10.png, 0.3453, 54.8929, 393216
96.00, 05.png, 0.5881, 100.0445, 393216
96.00, 23.png, 0.3129, 67.5093, 393216
96.00, 11.png, 0.4043, 87.8560, 393216
96.00, 24.png, 0.4809, 113.9995, 393216
96.00, 01.png, 0.5446, 102.4696, 393216
96.00, 04.png, 0.3459, 66.3109, 393216
96.00, 14.png, 0.4726, 104.4142, 393216
96.00, 13.png, 0.6524, 191.9146, 393216
96.00, 06.png, 0.4565, 86.2441, 393216
96.00, 16.png, 0.3488, 63.6746, 393216
96.00, 07.png, 0.3772, 53.0135, 393216
80.00, 03.png, 0.3118, 62.3495, 393216
80.00, 08.png, 0.5436, 124.2804, 393216
80.00, 21.png, 0.4185, 96.9445, 393216
80.00, 18.png, 0.4475, 137.7516, 393216
80.00, 15.png, 0.3285, 83.2562, 393216
80.00, 09.png, 0.3270, 51.5473, 393216
80.00, 17.png, 0.3362, 150.6476, 393216
80.00, 20.png, 0.3285, 58.6004, 393216
80.00, 12.png, 0.3127, 52.9904, 393216
80.00, 22.png, 0.3680, 92.2959, 393216
80.00, 19.png, 0.3571, 75.0314, 393216
80.00, 02.png, 0.3087, 79.9866, 393216
80.00, 10.png, 0.3321, 55.9303, 393216
80.00, 05.png, 0.5316, 119.1969, 393216
80.00, 23.png, 0.3049, 62.1504, 393216
80.00, 11.png, 0.3787, 99.6356, 393216
80.00, 24.png, 0.4405, 131.3560, 393216
80.00, 01.png, 0.4901, 115.9595, 393216
80.00, 04.png, 0.3297, 71.6957, 393216
80.00, 14.png, 0.4352, 115.9247, 393216
80.00, 13.png, 0.5743, 231.0842, 393216
80.00, 06.png, 0.4187, 93.8930, 393216
80.00, 16.png, 0.3288, 67.7779, 393216
80.00, 07.png, 0.3603, 60.7803, 393216
64.00, 03.png, 0.3014, 50.9675, 393216
64.00, 08.png, 0.4919, 152.2866, 393216
64.00, 21.png, 0.3877, 98.0409, 393216
64.00, 18.png, 0.4118, 146.0467, 393216
64.00, 15.png, 0.3156, 74.2223, 393216
64.00, 09.png, 0.3167, 44.9100, 393216
64.00, 17.png, 0.3244, 106.6074, 393216
64.00, 20.png, 0.3160, 55.2555, 393216
64.00, 12.png, 0.3050, 46.7803, 393216
64.00, 22.png, 0.3478, 93.0734, 393216
64.00, 19.png, 0.3384, 76.7252, 393216
64.00, 02.png, 0.2981, 69.4361, 393216
64.00, 10.png, 0.3209, 54.5828, 393216
64.00, 05.png, 0.4815, 142.6222, 393216
64.00, 23.png, 0.2979, 47.6629, 393216
64.00, 11.png, 0.3559, 98.7495, 393216
64.00, 24.png, 0.4045, 150.2428, 393216
64.00, 01.png, 0.4428, 129.7617, 393216
64.00, 04.png, 0.3187, 66.8640, 393216
64.00, 14.png, 0.4033, 118.1964, 393216
64.00, 13.png, 0.5067, 277.8987, 393216
64.00, 06.png, 0.3868, 106.4891, 393216
64.00, 16.png, 0.3138, 69.6597, 393216
64.00, 07.png, 0.3460, 53.6180, 393216
48.00, 03.png, 0.2912, 46.8709, 393216
48.00, 08.png, 0.4428, 198.2247, 393216
