active, fn, bpp, mse, np
256.00, kodak/kodim03.png, 0.6627, 11.9752, 393216
256.00, kodak/kodim08.png, 1.6279, 43.0793, 393216
256.00, kodak/kodim21.png, 1.0342, 20.3975, 393216
256.00, kodak/kodim18.png, 1.3407, 29.3840, 393216
256.00, kodak/kodim15.png, 0.8209, 21.6590, 393216
256.00, kodak/kodim09.png, 0.6567, 14.2772, 393216
256.00, kodak/kodim17.png, 0.8337, 14.8494, 393216
256.00, kodak/kodim20.png, 0.7283, 25.3830, 393216
256.00, kodak/kodim12.png, 0.7902, 14.8481, 393216
256.00, kodak/kodim22.png, 1.1281, 21.9501, 393216
256.00, kodak/kodim19.png, 1.0053, 21.7739, 393216
256.00, kodak/kodim02.png, 0.9349, 18.1921, 393216
256.00, kodak/kodim10.png, 0.7672, 14.3031, 393216
256.00, kodak/kodim05.png, 1.5462, 31.7984, 393216
256.00, kodak/kodim23.png, 0.5606, 16.1125, 393216
256.00, kodak/kodim11.png, 1.1467, 19.6079, 393216
256.00, kodak/kodim24.png, 1.3302, 28.5138, 393216
256.00, kodak/kodim01.png, 1.5872, 26.9811, 393216
256.00, kodak/kodim04.png, 0.8859, 17.5173, 393216
256.00, kodak/kodim14.png, 1.3765, 25.6566, 393216
256.00, kodak/kodim13.png, 1.9182, 44.3314, 393216
256.00, kodak/kodim06.png, 1.2635, 21.7525, 393216
256.00, kodak/kodim16.png, 0.9529, 12.9099, 393216
256.00, kodak/kodim07.png, 0.7722, 13.1719, 393216
240.00, kodak/kodim03.png, 0.6627, 9.5888, 393216
240.00, kodak/kodim08.png, 1.6279, 34.4707, 393216
240.00, kodak/kodim21.png, 1.0342, 17.6525, 393216
240.00, kodak/kodim18.png, 1.3406, 25.9680, 393216
240.00, kodak/kodim15.png, 0.8209, 16.3716, 393216
240.00, kodak/kodim09.png, 0.6567, 11.7784, 393216
240.00, kodak/kodim17.png, 0.8337, 12.5191, 393216
240.00, kodak/kodim20.png, 0.7283, 16.8593, 393216
240.00, kodak/kodim12.png, 0.7902, 11.7093, 393216
240.00, kodak/kodim22.png, 1.1281, 19.4501, 393216
240.00, kodak/kodim19.png, 1.0053, 17.5700, 393216
240.00, kodak/kodim02.png, 0.9349, 14.9861, 393216
240.00, kodak/kodim10.png, 0.7672, 12.0537, 393216
240.00, kodak/kodim05.png, 1.5462, 26.0927, 393216
240.00, kodak/kodim23.png, 0.5606, 12.1732, 393216
240.00, kodak/kodim11.png, 1.1467, 17.1322, 393216
240.00, kodak/kodim24.png, 1.3300, 24.8840, 393216
240.00, kodak/kodim01.png, 1.5872, 23.2563, 393216
240.00, kodak/kodim04.png, 0.8859, 14.5257, 393216
240.00, kodak/kodim14.png, 1.3765, 21.4517, 393216
240.00, kodak/kodim13.png, 1.9182, 39.9976, 393216
240.00, kodak/kodim06.png, 1.2635, 18.0034, 393216
240.00, kodak/kodim16.png, 0.9529, 11.0377, 393216
240.00, kodak/kodim07.png, 0.7722, 10.9703, 393216
224.00, kodak/kodim03.png, 0.6627, 7.9022, 393216
224.00, kodak/kodim08.png, 1.6279, 28.8296, 393216
224.00, kodak/kodim21.png, 1.0342, 15.8287, 393216
224.00, kodak/kodim18.png, 1.3406, 23.8235, 393216
224.00, kodak/kodim15.png, 0.8209, 13.3530, 393216
224.00, kodak/kodim09.png, 0.6567, 10.0333, 393216
224.00, kodak/kodim17.png, 0.8337, 11.0893, 393216
224.00, kodak/kodim20.png, 0.7283, 12.2708, 393216
224.00, kodak/kodim12.png, 0.7901, 9.7355, 393216
224.00, kodak/kodim22.png, 1.1281, 17.6579, 393216
224.00, kodak/kodim19.png, 1.0053, 14.7823, 393216
224.00, kodak/kodim02.png, 0.9349, 13.0063, 393216
224.00, kodak/kodim10.png, 0.7672, 10.5088, 393216
224.00, kodak/kodim05.png, 1.5462, 22.0380, 393216
