active,fn,bpp,mse,np
0.00, 03.png, 2.4832, 8.4641, 393216
0.00, 08.png, 3.5753, 39.0932, 393216
0.00, 21.png, 2.8498, 18.9556, 393216
0.00, 18.png, 3.2527, 28.9512, 393216
0.00, 15.png, 2.9329, 15.3221, 393216
0.00, 09.png, 2.5116, 10.3825, 393216
0.00, 17.png, 2.8742, 11.9335, 393216
0.00, 20.png, 2.9960, 12.6540, 393216
0.00, 12.png, 2.7254, 9.9190, 393216
0.00, 22.png, 2.9052, 18.6131, 393216
0.00, 19.png, 2.7736, 15.0094, 393216
0.00, 02.png, 2.9359, 11.3603, 393216
0.00, 10.png, 2.5825, 10.7972, 393216
0.00, 05.png, 3.5390, 27.3923, 393216
0.00, 23.png, 2.5760, 10.7867, 393216
0.00, 11.png, 2.8996, 16.4442, 393216
0.00, 24.png, 3.1368, 30.0662, 393216
0.00, 01.png, 3.2934, 23.0234, 393216
0.00, 04.png, 2.7682, 12.5767, 393216
0.00, 14.png, 3.2508, 21.4498, 393216
0.00, 13.png, 3.5207, 50.2067, 393216
0.00, 06.png, 3.0445, 17.2101, 393216
0.00, 16.png, 2.6367, 9.4888, 393216
0.00, 07.png, 2.6235, 11.2826, 393216
0.00, 03.png, 2.4832, 8.4641, 393216
0.00, 08.png, 3.5753, 39.0932, 393216
0.00, 21.png, 2.8498, 18.9557, 393216
0.00, 18.png, 3.2527, 28.9512, 393216
0.00, 15.png, 2.9329, 15.3221, 393216
0.00, 09.png, 2.5116, 10.3826, 393216
0.00, 17.png, 2.8742, 11.9335, 393216
0.00, 20.png, 2.9960, 12.6540, 393216
0.00, 12.png, 2.7254, 9.9191, 393216
0.00, 22.png, 2.9052, 18.6131, 393216
0.00, 19.png, 2.7736, 15.0094, 393216
0.00, 02.png, 2.9359, 11.3603, 393216
0.00, 10.png, 2.5825, 10.7972, 393216
0.00, 05.png, 3.5390, 27.3924, 393216
0.00, 23.png, 2.5760, 10.7867, 393216
0.00, 11.png, 2.8996, 16.4442, 393216
0.00, 24.png, 3.1368, 30.0662, 393216
0.00, 01.png, 3.2934, 23.0235, 393216
0.00, 04.png, 2.7682, 12.5767, 393216
0.00, 14.png, 3.2508, 21.4498, 393216
0.00, 13.png, 3.5207, 50.2067, 393216
0.00, 06.png, 3.0445, 17.2101, 393216
0.00, 16.png, 2.6367, 9.4888, 393216
0.00, 07.png, 2.6235, 11.2826, 393216
0.00, 03.png, 2.4832, 8.4641, 393216
0.00, 08.png, 3.5753, 39.0932, 393216
0.00, 21.png, 2.8498, 18.9557, 393216
0.00, 18.png, 3.2527, 28.9512, 393216
0.00, 15.png, 2.9329, 15.3221, 393216
0.00, 09.png, 2.5116, 10.3826, 393216
0.00, 17.png, 2.8742, 11.9334, 393216
0.00, 20.png, 2.9960, 12.6540, 393216
0.00, 12.png, 2.7254, 9.9190, 393216
0.00, 22.png, 2.9052, 18.6130, 393216
0.00, 19.png, 2.7736, 15.0094, 393216
0.00, 02.png, 2.9359, 11.3603, 393216
0.00, 10.png, 2.5825, 10.7972, 393216
0.00, 05.png, 3.5390, 27.3924, 393216
0.00, 23.png, 2.5760, 10.7867, 393216
0.00, 11.png, 2.8996, 16.4442, 393216
0.00, 24.png, 3.1368, 30.0662, 393216
0.00, 01.png, 3.2934, 23.0235, 393216
0.00, 04.png, 2.7682, 12.5768, 393216
0.00, 14.png, 3.2508, 21.4498, 393216
0.00, 13.png, 3.5207, 50.2067, 393216
0.00, 06.png, 3.0445, 17.2101, 393216
0.00, 16.png, 2.6367, 9.4888, 393216
0.00, 07.png, 2.6235, 11.2826, 393216
0.05, 03.png, 2.3598, 10.0794, 393216
0.05, 08.png, 3.3974, 44.6586, 393216
0.05, 21.png, 2.7080, 27.6697, 393216
0.05, 18.png, 3.0907, 34.0841, 393216
0.05, 15.png, 2.7870, 16.5995, 393216
0.05, 09.png, 2.3868, 12.5457, 393216
0.05, 17.png, 2.7312, 18.8545, 393216
0.05, 20.png, 2.8469, 16.6029, 393216
0.05, 12.png, 2.5898, 11.5087, 393216
0.05, 22.png, 2.7607, 20.5994, 393216
0.05, 19.png, 2.6357, 18.6963, 393216
0.05, 02.png, 2.7898, 13.0183, 393216
0.05, 10.png, 2.4542, 14.7637, 393216
0.05, 05.png, 3.3629, 37.7947, 393216
0.05, 23.png, 2.4480, 12.1796, 393216
0.05, 11.png, 2.7553, 19.7034, 393216
0.05, 24.png, 2.9808, 37.1282, 393216
0.05, 01.png, 3.1295, 30.9588, 393216
0.05, 04.png, 2.6306, 16.9588, 393216
0.05, 14.png, 3.0891, 28.4712, 393216
0.05, 13.png, 3.3454, 69.5238, 393216
0.05, 06.png, 2.8930, 24.8475, 393216
0.05, 16.png, 2.5055, 12.5113, 393216
0.05, 07.png, 2.4931, 14.0186, 393216
0.05, 03.png, 2.3598, 9.3542, 393216
0.05, 08.png, 3.3974, 48.1547, 393216
0.05, 21.png, 2.7080, 26.6003, 393216
0.05, 18.png, 3.0907, 36.3230, 393216
0.05, 15.png, 2.7870, 17.1494, 393216
0.05, 09.png, 2.3868, 13.3776, 393216
0.05, 17.png, 2.7312, 14.4069, 393216
0.05, 20.png, 2.8469, 15.3045, 393216
0.05, 12.png, 2.5898, 12.2351, 393216
0.05, 22.png, 2.7607, 22.3278, 393216
0.05, 19.png, 2.6357, 18.9713, 393216
0.05, 02.png, 2.7898, 15.5159, 393216
0.05, 10.png, 2.4542, 15.0206, 393216
0.05, 05.png, 3.3629, 33.8047, 393216
0.05, 23.png, 2.4480, 12.4314, 393216
0.05, 11.png, 2.7553, 21.9365, 393216
0.05, 24.png, 2.9808, 41.8362, 393216
0.05, 01.png, 3.1295, 27.6025, 393216
0.05, 04.png, 2.6306, 15.2400, 393216
0.05, 14.png, 3.0891, 29.6472, 393216
0.05, 13.png, 3.3454, 74.4276, 393216
0.05, 06.png, 2.8930, 22.0062, 393216
0.05, 16.png, 2.5055, 13.9141, 393216
0.05, 07.png, 2.4931, 15.2757, 393216
