hash,level,bpp,mse
032032032, 0, 0.1571, 128.1510
032032032, 1, 0.2319, 98.1890
032032032, 2, 0.3447, 85.3359
032032032, 3, 0.5037, 62.1038
032032032, 4, 0.7064, 51.1694
032032032, 5, 0.9626, 45.8057
032032032, 6, 1.2749, 41.2812
032032032, 7, 1.6281, 38.8429
032032064, 0, 0.1571, 120.2831
032032064, 1, 0.2319, 87.0639
032032064, 2, 0.3447, 72.4906
032032064, 3, 0.5037, 48.0739
032032064, 4, 0.7064, 38.1510
032032064, 5, 0.9626, 33.3083
032032064, 6, 1.2749, 30.7005
032032064, 7, 1.6281, 29.4835
032032096, 0, 0.1571, 119.6896
032032096, 1, 0.2319, 85.7620
032032096, 2, 0.3447, 71.1433
032032096, 3, 0.5037, 47.0296
032032096, 4, 0.7064, 37.0916
032032096, 5, 0.9626, 32.3230
032032096, 6, 1.2749, 29.7418
032032096, 7, 1.6281, 28.6165
032032144, 0, 0.1571, 120.7054
032032144, 1, 0.2319, 86.1002
032032144, 2, 0.3447, 71.0973
032032144, 3, 0.5037, 46.9876
032032144, 4, 0.7064, 36.8559
032032144, 5, 0.9626, 32.0056
032032144, 6, 1.2749, 29.3926
032032144, 7, 1.6281, 28.2596
032032256, 0, 0.1571, 121.3893
032032256, 1, 0.2319, 86.1595
032032256, 2, 0.3447, 70.7858
032032256, 3, 0.5037, 46.5943
032032256, 4, 0.7064, 36.4730
032032256, 5, 0.9626, 31.6479
032032256, 6, 1.2749, 29.0505
032032256, 7, 1.6281, 27.9269
032072032, 0, 0.1571, 127.9983
032072032, 1, 0.2319, 93.7774
032072032, 2, 0.3447, 78.2943
032072032, 3, 0.5037, 53.9935
032072032, 4, 0.7064, 43.2965
032072032, 5, 0.9626, 38.1958
032072032, 6, 1.2749, 34.8380
032072032, 7, 1.6281, 33.1781
032072064, 0, 0.1571, 116.5666
032072064, 1, 0.2319, 83.6865
032072064, 2, 0.3447, 69.8536
032072064, 3, 0.5037, 46.2606
032072064, 4, 0.7064, 36.7859
032072064, 5, 0.9626, 32.1162
032072064, 6, 1.2749, 29.6955
032072064, 7, 1.6281, 28.5365
032072096, 0, 0.1571, 115.6037
032072096, 1, 0.2319, 82.5081
032072096, 2, 0.3447, 68.3950
032072096, 3, 0.5037, 45.1869
032072096, 4, 0.7064, 35.7170
032072096, 5, 0.9626, 31.1704
032072096, 6, 1.2749, 28.7670
032072096, 7, 1.6281, 27.7031
032072144, 0, 0.1571, 117.3098
032072144, 1, 0.2319, 83.2957
032072144, 2, 0.3447, 68.3041
032072144, 3, 0.5037, 44.9197
032072144, 4, 0.7064, 35.2367
032072144, 5, 0.9626, 30.6583
032072144, 6, 1.2749, 28.2375
032072144, 7, 1.6281, 27.1986
032072256, 0, 0.1571, 117.6329
032072256, 1, 0.2319, 83.1496
032072256, 2, 0.3447, 67.9176
032072256, 3, 0.5037, 44.4786
032072256, 4, 0.7064, 34.7894
032072256, 5, 0.9626, 30.2297
032072256, 6, 1.2749, 27.8314
032072256, 7, 1.6281, 26.8082
032128032, 0, 0.1571, 125.5383
032128032, 1, 0.2319, 90.1358
032128032, 2, 0.3447, 74.1378
032128032, 3, 0.5037, 49.7514
032128032, 4, 0.7064, 39.2601
032128032, 5, 0.9626, 34.5743
032128032, 6, 1.2749, 31.6302
032128032, 7, 1.6281, 30.3138
032128064, 0, 0.1571, 114.3927
032128064, 1, 0.2319, 81.6868
032128064, 2, 0.3447, 68.2341
032128064, 3, 0.5037, 45.0179
032128064, 4, 0.7064, 35.7475
032128064, 5, 0.9626, 31.2121
