level,fn,bpp,mse,np
0.00, kodak/kodim03.png, 0.0620, 143.4096, 393216
0.00, kodak/kodim08.png, 0.1865, 364.0655, 393216
0.00, kodak/kodim21.png, 0.1023, 252.4692, 393216
0.00, kodak/kodim18.png, 0.1091, 356.1470, 393216
0.00, kodak/kodim15.png, 0.0749, 158.8533, 393216
0.00, kodak/kodim09.png, 0.0716, 163.8913, 393216
0.00, kodak/kodim17.png, 0.0763, 209.3994, 393216
0.00, kodak/kodim20.png, 0.0756, 144.0016, 393216
0.00, kodak/kodim12.png, 0.0621, 149.3459, 393216
0.00, kodak/kodim22.png, 0.0780, 243.2605, 393216
0.00, kodak/kodim19.png, 0.0834, 193.0057, 393216
0.00, kodak/kodim02.png, 0.0652, 177.1712, 393216
0.00, kodak/kodim10.png, 0.0701, 196.2959, 393216
0.00, kodak/kodim05.png, 0.1636, 385.4553, 393216
0.00, kodak/kodim23.png, 0.0676, 124.8373, 393216
0.00, kodak/kodim11.png, 0.0875, 250.6031, 393216
0.00, kodak/kodim24.png, 0.1183, 348.8166, 393216
0.00, kodak/kodim01.png, 0.1191, 372.4610, 393216
0.00, kodak/kodim04.png, 0.0705, 190.2092, 393216
0.00, kodak/kodim14.png, 0.1086, 332.0791, 393216
0.00, kodak/kodim13.png, 0.1719, 493.7254, 393216
0.00, kodak/kodim06.png, 0.0978, 296.7853, 393216
0.00, kodak/kodim16.png, 0.0588, 206.4164, 393216
0.00, kodak/kodim07.png, 0.0866, 200.9872, 393216
1.00, kodak/kodim03.png, 0.0640, 136.6946, 393216
1.00, kodak/kodim08.png, 0.1963, 343.0306, 393216
1.00, kodak/kodim21.png, 0.1072, 239.9433, 393216
1.00, kodak/kodim18.png, 0.1167, 343.2037, 393216
1.00, kodak/kodim15.png, 0.0775, 153.9491, 393216
1.00, kodak/kodim09.png, 0.0747, 156.3413, 393216
1.00, kodak/kodim17.png, 0.0798, 202.5250, 393216
1.00, kodak/kodim20.png, 0.0785, 139.7358, 393216
1.00, kodak/kodim12.png, 0.0659, 135.3069, 393216
1.00, kodak/kodim22.png, 0.0817, 236.2758, 393216
1.00, kodak/kodim19.png, 0.0866, 185.1663, 393216
1.00, kodak/kodim02.png, 0.0676, 174.8340, 393216
1.00, kodak/kodim10.png, 0.0732, 187.0520, 393216
1.00, kodak/kodim05.png, 0.1729, 366.5264, 393216
1.00, kodak/kodim23.png, 0.0700, 118.4322, 393216
1.00, kodak/kodim11.png, 0.0923, 238.9662, 393216
1.00, kodak/kodim24.png, 0.1267, 333.0415, 393216
1.00, kodak/kodim01.png, 0.1265, 356.1360, 393216
1.00, kodak/kodim04.png, 0.0735, 184.9937, 393216
1.00, kodak/kodim14.png, 0.1152, 317.3743, 393216
1.00, kodak/kodim13.png, 0.1848, 470.0601, 393216
1.00, kodak/kodim06.png, 0.1053, 275.0464, 393216
1.00, kodak/kodim16.png, 0.0619, 196.0694, 393216
1.00, kodak/kodim07.png, 0.0903, 192.2637, 393216
2.00, kodak/kodim03.png, 0.0664, 135.4833, 393216
2.00, kodak/kodim08.png, 0.2059, 330.3348, 393216
2.00, kodak/kodim21.png, 0.1132, 232.4755, 393216
2.00, kodak/kodim18.png, 0.1245, 333.9602, 393216
2.00, kodak/kodim15.png, 0.0804, 151.7673, 393216
2.00, kodak/kodim09.png, 0.0774, 152.3357, 393216
2.00, kodak/kodim17.png, 0.0834, 197.9698, 393216
2.00, kodak/kodim20.png, 0.0812, 134.8176, 393216
2.00, kodak/kodim12.png, 0.0682, 135.5157, 393216
2.00, kodak/kodim22.png, 0.0856, 235.5249, 393216
2.00, kodak/kodim19.png, 0.0898, 182.9508, 393216
2.00, kodak/kodim02.png, 0.0706, 171.4140, 393216
2.00, kodak/kodim10.png, 0.0765, 182.4483, 393216
2.00, kodak/kodim05.png, 0.1833, 348.3711, 393216
2.00, kodak/kodim23.png, 0.0727, 116.3834, 393216
2.00, kodak/kodim11.png, 0.0971, 235.3758, 393216
2.00, kodak/kodim24.png, 0.1341, 323.4081, 393216
2.00, kodak/kodim01.png, 0.1346, 345.4822, 393216
2.00, kodak/kodim04.png, 0.0761, 184.3456, 393216
2.00, kodak/kodim14.png, 0.1214, 310.3926, 393216
2.00, kodak/kodim13.png, 0.1981, 455.9653, 393216
2.00, kodak/kodim06.png, 0.1116, 268.9586, 393216
2.00, kodak/kodim16.png, 0.0648, 198.3786, 393216
2.00, kodak/kodim07.png, 0.0940, 189.8246, 393216
3.00, kodak/kodim03.png, 0.0688, 129.5788, 393216
3.00, kodak/kodim08.png, 0.2158, 312.4853, 393216
3.00, kodak/kodim21.png, 0.1188, 219.2206, 393216
3.00, kodak/kodim18.png, 0.1326, 314.4684, 393216
3.00, kodak/kodim15.png, 0.0836, 143.8204, 393216
3.00, kodak/kodim09.png, 0.0806, 142.5832, 393216
3.00, kodak/kodim17.png, 0.0873, 185.0993, 393216
3.00, kodak/kodim20.png, 0.0838, 133.1607, 393216
3.00, kodak/kodim12.png, 0.0709, 130.3571, 393216
3.00, kodak/kodim22.png, 0.0897, 226.9632, 393216
3.00, kodak/kodim19.png, 0.0938, 177.3506, 393216
3.00, kodak/kodim02.png, 0.0732, 162.0485, 393216
3.00, kodak/kodim10.png, 0.0800, 171.5752, 393216
3.00, kodak/kodim05.png, 0.1934, 324.9276, 393216
3.00, kodak/kodim23.png, 0.0750, 111.6602, 393216
3.00, kodak/kodim11.png, 0.1019, 223.5603, 393216
