c0,c1,c2,level,bpp,mse
88, 128, 64, 0, 0.0924, 59.2938, kodak/kodim03.png
88, 128, 64, 0, 0.3045, 201.5204, kodak/kodim08.png
88, 128, 64, 0, 0.1715, 123.4781, kodak/kodim21.png
88, 128, 64, 0, 0.1965, 167.4084, kodak/kodim18.png
88, 128, 64, 0, 0.1146, 72.7600, kodak/kodim15.png
88, 128, 64, 0, 0.1070, 63.5960, kodak/kodim09.png
88, 128, 64, 0, 0.1196, 77.3149, kodak/kodim17.png
88, 128, 64, 0, 0.1136, 68.4236, kodak/kodim20.png
88, 128, 64, 0, 0.0967, 60.7964, kodak/kodim12.png
88, 128, 64, 0, 0.1327, 112.1780, kodak/kodim22.png
88, 128, 64, 0, 0.1303, 96.4730, kodak/kodim19.png
88, 128, 64, 0, 0.1060, 75.0547, kodak/kodim02.png
88, 128, 64, 0, 0.1080, 70.3767, kodak/kodim10.png
88, 128, 64, 0, 0.2847, 184.0468, kodak/kodim05.png
88, 128, 64, 0, 0.0995, 47.7820, kodak/kodim23.png
88, 128, 64, 0, 0.1479, 113.1726, kodak/kodim11.png
88, 128, 64, 0, 0.2053, 167.2080, kodak/kodim24.png
88, 128, 64, 0, 0.2184, 183.1092, kodak/kodim01.png
88, 128, 64, 0, 0.1108, 79.7188, kodak/kodim04.png
88, 128, 64, 0, 0.1890, 152.5995, kodak/kodim14.png
88, 128, 64, 0, 0.3117, 280.6314, kodak/kodim13.png
88, 128, 64, 0, 0.1712, 138.0487, kodak/kodim06.png
88, 128, 64, 0, 0.0992, 89.0496, kodak/kodim16.png
88, 128, 64, 0, 0.1382, 77.0561, kodak/kodim07.png
88, 128, 64, 1, 0.1318, 40.6985, kodak/kodim03.png
88, 128, 64, 1, 0.4314, 133.5094, kodak/kodim08.png
88, 128, 64, 1, 0.2543, 83.5210, kodak/kodim21.png
88, 128, 64, 1, 0.3074, 115.5569, kodak/kodim18.png
88, 128, 64, 1, 0.1611, 54.3247, kodak/kodim15.png
88, 128, 64, 1, 0.1481, 43.1216, kodak/kodim09.png
88, 128, 64, 1, 0.1706, 53.0476, kodak/kodim17.png
88, 128, 64, 1, 0.1569, 48.9969, kodak/kodim20.png
88, 128, 64, 1, 0.1336, 44.1032, kodak/kodim12.png
88, 128, 64, 1, 0.2049, 83.4596, kodak/kodim22.png
88, 128, 64, 1, 0.1877, 69.8092, kodak/kodim19.png
88, 128, 64, 1, 0.1479, 57.7034, kodak/kodim02.png
88, 128, 64, 1, 0.1537, 47.1097, kodak/kodim10.png
88, 128, 64, 1, 0.4145, 119.4941, kodak/kodim05.png
88, 128, 64, 1, 0.1301, 33.8279, kodak/kodim23.png
88, 128, 64, 1, 0.2214, 80.6030, kodak/kodim11.png
88, 128, 64, 1, 0.3101, 115.6407, kodak/kodim24.png
88, 128, 64, 1, 0.3501, 127.1038, kodak/kodim01.png
88, 128, 64, 1, 0.1602, 58.2297, kodak/kodim04.png
88, 128, 64, 1, 0.2875, 107.1851, kodak/kodim14.png
88, 128, 64, 1, 0.4936, 194.8313, kodak/kodim13.png
88, 128, 64, 1, 0.2608, 95.0666, kodak/kodim06.png
88, 128, 64, 1, 0.1547, 63.0356, kodak/kodim16.png
88, 128, 64, 1, 0.1929, 50.5671, kodak/kodim07.png
88, 128, 64, 2, 0.1883, 35.8511, kodak/kodim03.png
88, 128, 64, 2, 0.6124, 96.2177, kodak/kodim08.png
88, 128, 64, 2, 0.3755, 63.5373, kodak/kodim21.png
88, 128, 64, 2, 0.4675, 83.6132, kodak/kodim18.png
88, 128, 64, 2, 0.2344, 47.9793, kodak/kodim15.png
88, 128, 64, 2, 0.2052, 39.2444, kodak/kodim09.png
88, 128, 64, 2, 0.2452, 44.2537, kodak/kodim17.png
88, 128, 64, 2, 0.2288, 45.6804, kodak/kodim20.png
88, 128, 64, 2, 0.1925, 42.3267, kodak/kodim12.png
88, 128, 64, 2, 0.3242, 67.3260, kodak/kodim22.png
88, 128, 64, 2, 0.2861, 58.4937, kodak/kodim19.png
88, 128, 64, 2, 0.2205, 51.0958, kodak/kodim02.png
88, 128, 64, 2, 0.2168, 42.0878, kodak/kodim10.png
88, 128, 64, 2, 0.5943, 83.5204, kodak/kodim05.png
88, 128, 64, 2, 0.1745, 33.2888, kodak/kodim23.png
88, 128, 64, 2, 0.3360, 63.7579, kodak/kodim11.png
88, 128, 64, 2, 0.4660, 84.3300, kodak/kodim24.png
88, 128, 64, 2, 0.5511, 90.5484, kodak/kodim01.png
88, 128, 64, 2, 0.2351, 50.7210, kodak/kodim04.png
88, 128, 64, 2, 0.4375, 80.8585, kodak/kodim14.png
88, 128, 64, 2, 0.7713, 132.4992, kodak/kodim13.png
88, 128, 64, 2, 0.3985, 71.1659, kodak/kodim06.png
88, 128, 64, 2, 0.2421, 51.8669, kodak/kodim16.png
88, 128, 64, 2, 0.2697, 41.6051, kodak/kodim07.png
88, 128, 64, 3, 0.2687, 18.1892, kodak/kodim03.png
88, 128, 64, 3, 0.8623, 55.8650, kodak/kodim08.png
88, 128, 64, 3, 0.5398, 34.9891, kodak/kodim21.png
88, 128, 64, 3, 0.6834, 48.4721, kodak/kodim18.png
88, 128, 64, 3, 0.3435, 27.3644, kodak/kodim15.png
88, 128, 64, 3, 0.2861, 20.6452, kodak/kodim09.png
88, 128, 64, 3, 0.3531, 24.5948, kodak/kodim17.png
