level, filename, bpp, mse, numpixel
0.00, kodak/kodim03.png, 0.0992, 65.1931, 393216.00
0.00, kodak/kodim08.png, 0.2921, 234.1591, 393216.00
0.00, kodak/kodim21.png, 0.1663, 139.8776, 393216.00
0.00, kodak/kodim18.png, 0.1975, 184.0954, 393216.00
0.00, kodak/kodim15.png, 0.1264, 83.1392, 393216.00
0.00, kodak/kodim09.png, 0.1159, 72.6915, 393216.00
0.00, kodak/kodim17.png, 0.1296, 90.8140, 393216.00
0.00, kodak/kodim20.png, 0.1256, 75.9802, 393216.00
0.00, kodak/kodim12.png, 0.1098, 70.2083, 393216.00
0.00, kodak/kodim22.png, 0.1418, 122.7175, 393216.00
0.00, kodak/kodim19.png, 0.1332, 109.1331, 393216.00
0.00, kodak/kodim02.png, 0.1140, 81.2141, 393216.00
0.00, kodak/kodim10.png, 0.1176, 81.8174, 393216.00
0.00, kodak/kodim05.png, 0.2757, 222.9686, 393216.00
0.00, kodak/kodim23.png, 0.1090, 53.9139, 393216.00
0.00, kodak/kodim11.png, 0.1537, 129.6157, 393216.00
0.00, kodak/kodim24.png, 0.2020, 192.8710, 393216.00
0.00, kodak/kodim01.png, 0.2163, 209.4029, 393216.00
0.00, kodak/kodim04.png, 0.1210, 89.2930, 393216.00
0.00, kodak/kodim14.png, 0.1915, 172.3875, 393216.00
0.00, kodak/kodim13.png, 0.2901, 316.6825, 393216.00
0.00, kodak/kodim06.png, 0.1725, 156.1329, 393216.00
0.00, kodak/kodim16.png, 0.1084, 97.3893, 393216.00
0.00, kodak/kodim07.png, 0.1425, 87.6687, 393216.00
1.00, kodak/kodim03.png, 0.1425, 44.5766, 393216.00
1.00, kodak/kodim08.png, 0.4220, 154.1826, 393216.00
1.00, kodak/kodim21.png, 0.2503, 93.7924, 393216.00
1.00, kodak/kodim18.png, 0.3062, 125.7439, 393216.00
1.00, kodak/kodim15.png, 0.1761, 60.5535, 393216.00
1.00, kodak/kodim09.png, 0.1609, 48.3100, 393216.00
1.00, kodak/kodim17.png, 0.1868, 60.5583, 393216.00
1.00, kodak/kodim20.png, 0.1765, 54.4214, 393216.00
1.00, kodak/kodim12.png, 0.1548, 49.3143, 393216.00
1.00, kodak/kodim22.png, 0.2199, 89.7385, 393216.00
1.00, kodak/kodim19.png, 0.1994, 76.2807, 393216.00
1.00, kodak/kodim02.png, 0.1615, 60.8377, 393216.00
1.00, kodak/kodim10.png, 0.1690, 54.6125, 393216.00
1.00, kodak/kodim05.png, 0.4088, 141.6723, 393216.00
1.00, kodak/kodim23.png, 0.1449, 36.9270, 393216.00
1.00, kodak/kodim11.png, 0.2328, 89.6078, 393216.00
1.00, kodak/kodim24.png, 0.3128, 128.1475, 393216.00
1.00, kodak/kodim01.png, 0.3466, 141.1835, 393216.00
1.00, kodak/kodim04.png, 0.1766, 63.0396, 393216.00
1.00, kodak/kodim14.png, 0.2936, 117.8008, 393216.00
1.00, kodak/kodim13.png, 0.4713, 215.4932, 393216.00
1.00, kodak/kodim06.png, 0.2679, 104.9070, 393216.00
1.00, kodak/kodim16.png, 0.1670, 68.5046, 393216.00
1.00, kodak/kodim07.png, 0.2016, 55.7365, 393216.00
2.00, kodak/kodim03.png, 0.2091, 27.8428, 393216.00
2.00, kodak/kodim08.png, 0.6157, 97.8002, 393216.00
2.00, kodak/kodim21.png, 0.3772, 59.0865, 393216.00
2.00, kodak/kodim18.png, 0.4692, 80.0658, 393216.00
2.00, kodak/kodim15.png, 0.2560, 41.6085, 393216.00
2.00, kodak/kodim09.png, 0.2233, 31.7878, 393216.00
2.00, kodak/kodim17.png, 0.2696, 40.2894, 393216.00
2.00, kodak/kodim20.png, 0.2524, 36.1220, 393216.00
2.00, kodak/kodim12.png, 0.2220, 33.1609, 393216.00
2.00, kodak/kodim22.png, 0.3436, 60.0427, 393216.00
2.00, kodak/kodim19.png, 0.3035, 51.7129, 393216.00
2.00, kodak/kodim02.png, 0.2437, 42.7325, 393216.00
2.00, kodak/kodim10.png, 0.2412, 35.8805, 393216.00
2.00, kodak/kodim05.png, 0.6035, 85.6591, 393216.00
2.00, kodak/kodim23.png, 0.1970, 24.5199, 393216.00
2.00, kodak/kodim11.png, 0.3569, 59.0603, 393216.00
