y,z
0.008178683,0
0.01429652,0
0.006923818,0
0.015513115,0
0.009199226,0
0.01393777,0.000461558
0.006619786,0
0.015902422,0
0.008620455,0
0.012423406,0
0.013019651,0
0.008993272,0
0.014712089,0
0.010462585,0
0.007519859,0.000797162
0.008203655,0
0.006857706,0
0.011715743,0.000994289
0.011202636,0
0.008986021,0
0.013901434,0
0.007144873,0
0.017472606,0
0.017818836,0
0.007367026,0
0.012638905,0.00074286
0.021860739,0
0.009698392,0
0.008052246,0
0.009913292,0
0.018004209,0
0.012057412,0
0.0106785,0
0.018884072,0
0.012040196,0
0.007173954,0
0.013215201,0.001040655
0.015718568,0
0.007880542,0
0.00687235,0
0.006764438,0
0.011538855,0
0.019595657,0
0.009425999,0
0.010430133,0
0.01391995,0
0.009078049,0
0.007681086,0
0.015727516,0
0.017182318,0
0.010547981,0
0.011056545,0
0.009909956,0
0.011198874,0.000419372
0.008707047,0
0.009343457,0
0.016715568,0
0.011896678,0.000817376
0.010300023,0
0.008207566,0
0.012796036,0
0.012277176,0
0.010680594,0
0.012229674,0
0.012386548,0
0.006828587,0
0.008981891,0.000720676
0.007785245,0
0.013461655,0
0.014012809,0
0.012867534,0
0.006695222,0
0.012422979,0.000956201
0.012176299,0.000613891
0.010527769,0
0.00948268,0
0.020314885,0
0.020598123,0
0.011944748,0.000497581
0.008980786,0
0.008184882,0
0.009472391,0
0.009523151,0
0.008500145,0
0.012265658,0
0.011959509,0
0.010118634,0
0.007559669,0
0.013584705,0
0.008813637,0
0.007564893,0
0.014356289,0.000603646
0.010604765,0
0.010668452,0
0.011525467,0
0.010114891,0
0.009544848,0
0.013968893,0
0.007707131,0
0.011171106,0
0.015801342,0
0.006827625,0
0.007266315,0
0.022649698,0
0.014808135,0.000699865
0.013182189,0
0.012852374,0
0.010999131,0
0.010513252,0
0.014742187,0
0.0100733,0
0.014261384,0.0002714
0.019127794,0
0.008846779,0
0.013726453,0
0.011747454,0
0.012465881,0
0.007427261,0
0.018046744,0
0.010584431,0
0.009685967,0
0.015525689,0.00049955
0.011749728,0
0.01005917,0
0.008276678,0
0.013578559,0
0.012163474,0
0.013415086,0
0.015468508,0
0.010565288,0
0.011627958,0
0.011424814,0
0.009678263,0.000255679
0.012770289,0
0.017375376,0
0.010967402,0
0.008694489,0
0.013319429,0.000352275
0.021600613,0
0.008224711,0
0.008562456,0
0.01505238,0
0.007677828,0
0.014959944,0.000495783
0.009387611,0
0.007632587,0
0.016760373,0
0.014075332,0
0.007365741,0
0.008262016,0
0.014237369,0
0.009915877,0
0.013978384,0
0.008602253,0.000423757
0.008853437,0
0.011913136,0.000659127
0.013290852,0
0.012963971,0
0.006903606,0
0.007587454,0
0.011613059,0
0.012648944,0
0.01277907,0
0.017368346,0
0.00792344,0
0.011484577,0
0.008668391,0
0.009258498,0
0.020900737,0.000770958
0.015870199,0
0.013243526,0
0.011346914,0
0.010358807,0
0.009781767,0
0.018525852,0
0.014717761,0.000623297
0.006859605,0
0.008809973,0
0.024584815,0
0.009718559,0
0.006338783,0
0.008863091,0
0.013859987,0
0.015120247,0
0.012488697,0
0.007097237,0
0.009707171,0
0.011417567,0
0.008073876,0
0.013017168,0
0.012323494,0.001301223
0.015714211,0
0.009320572,0
0.010951436,0
0.009035687,0
0.015409372,0
0.016691212,0
0.016200986,0
0.011721633,0
0.015832759,0
0.016086426,0
0.008502803,0
0.011054774,0
0.013016773,0
0.015372927,0
0.017646531,0
0.014657271,0
0.009938049,0
0.010762305,0.00084222
0.009796837,0
0.006851785,0
0.012160019,0
0.015091082,0
0.010807929,0
0.01231372,0.00075448
0.019937864,0
0.014662663,0
0.014801422,0
0.018369682,0
0.014446197,0
0.006542385,0
0.013767804,0
0.01236165,0
0.012780194,0.000346717
0.013542801,0
0.012004661,0
0.00961973,0
0.016147189,0
0.00727421,0
0.013838029,0
0.007873356,0.000440016
0.014266421,0
0.019300841,0
0.015124325,0.000625649
0.009331905,0
0.013469082,0
0.023834627,0
0.015954191,0
0.011745041,0
0.014393785,0
0.01017834,0
0.008121741,0
0.014308829,0
0.009836266,0
0.011064675,0
0.019851407,0
0.008167312,0.000534823
0.019714756,0.000817606
0.013434587,0
0.012790458,0
0.016153513,0
0.029697888,0
0.008859177,5.925E-08
0.014326955,0
0.013434751,0
0.010847014,0
