level,fn,dbpp,bpp,mse,np
0.00, kodak/kodim03.png, 0.0837, 0.0823, 222.3268, 393216
1.00, kodak/kodim03.png, 0.0861, 0.1149, 90.6079, 393216
2.00, kodak/kodim03.png, 0.1196, 0.1654, 40.3010, 393216
3.00, kodak/kodim03.png, 0.1698, 0.2383, 21.2078, 393216
4.00, kodak/kodim03.png, 0.2385, 0.3336, 12.4758, 393216
5.00, kodak/kodim03.png, 0.3344, 0.4626, 7.6372, 393216
6.00, kodak/kodim03.png, 0.4636, 0.6310, 5.0652, 393216
7.00, kodak/kodim03.png, 0.6312, 0.8390, 3.6233, 393216
0.00, kodak/kodim08.png, 0.2777, 0.2758, 240.0687, 393216
1.00, kodak/kodim08.png, 0.2620, 0.3951, 138.4505, 393216
2.00, kodak/kodim08.png, 0.3786, 0.5646, 82.5821, 393216
3.00, kodak/kodim08.png, 0.5452, 0.7956, 50.9399, 393216
4.00, kodak/kodim08.png, 0.7751, 1.1030, 31.6077, 393216
5.00, kodak/kodim08.png, 1.0789, 1.4899, 18.8810, 393216
6.00, kodak/kodim08.png, 1.4492, 1.9372, 12.0072, 393216
7.00, kodak/kodim08.png, 1.8841, 2.4240, 8.3050, 393216
0.00, kodak/kodim21.png, 0.1520, 0.1500, 223.5174, 393216
1.00, kodak/kodim21.png, 0.1587, 0.2287, 112.3132, 393216
2.00, kodak/kodim21.png, 0.2385, 0.3489, 62.0438, 393216
3.00, kodak/kodim21.png, 0.3530, 0.5075, 36.0602, 393216
4.00, kodak/kodim21.png, 0.5057, 0.7084, 22.0252, 393216
5.00, kodak/kodim21.png, 0.7022, 0.9525, 13.3761, 393216
6.00, kodak/kodim21.png, 0.9350, 1.2315, 8.8104, 393216
7.00, kodak/kodim21.png, 1.2058, 1.5503, 6.3694, 393216
0.00, kodak/kodim18.png, 0.1784, 0.1768, 310.5211, 393216
1.00, kodak/kodim18.png, 0.1809, 0.2771, 154.9396, 393216
2.00, kodak/kodim18.png, 0.2795, 0.4261, 82.9035, 393216
3.00, kodak/kodim18.png, 0.4266, 0.6288, 48.4685, 393216
4.00, kodak/kodim18.png, 0.6186, 0.8847, 29.9792, 393216
5.00, kodak/kodim18.png, 0.8686, 1.2020, 19.1118, 393216
6.00, kodak/kodim18.png, 1.1852, 1.5843, 13.1360, 393216
7.00, kodak/kodim18.png, 1.5699, 2.0535, 9.4661, 393216
0.00, kodak/kodim15.png, 0.1004, 0.0988, 200.1254, 393216
1.00, kodak/kodim15.png, 0.1034, 0.1393, 94.1855, 393216
2.00, kodak/kodim15.png, 0.1436, 0.2043, 50.2690, 393216
3.00, kodak/kodim15.png, 0.2077, 0.3015, 29.7086, 393216
4.00, kodak/kodim15.png, 0.3028, 0.4375, 18.5633, 393216
5.00, kodak/kodim15.png, 0.4402, 0.6251, 11.6653, 393216
6.00, kodak/kodim15.png, 0.6299, 0.8739, 7.8180, 393216
7.00, kodak/kodim15.png, 0.8720, 1.1821, 5.5695, 393216
0.00, kodak/kodim09.png, 0.0972, 0.0953, 179.2010, 393216
1.00, kodak/kodim09.png, 0.1003, 0.1326, 72.7914, 393216
2.00, kodak/kodim09.png, 0.1367, 0.1851, 36.0014, 393216
3.00, kodak/kodim09.png, 0.1878, 0.2572, 21.5879, 393216
4.00, kodak/kodim09.png, 0.2608, 0.3538, 14.0111, 393216
5.00, kodak/kodim09.png, 0.3563, 0.4813, 9.2731, 393216
6.00, kodak/kodim09.png, 0.4848, 0.6473, 6.7814, 393216
7.00, kodak/kodim09.png, 0.6642, 0.8908, 5.2539, 393216
